id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
1,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JANUARI,45.0,MILIMETER,2015
2,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,FEBRUARI,63.0,MILIMETER,2015
3,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MARET,62.0,MILIMETER,2015
4,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,APRIL,25.0,MILIMETER,2015
5,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,MEI,58.0,MILIMETER,2015
6,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JUNI,75.0,MILIMETER,2015
7,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,JULI,14.0,MILIMETER,2015
8,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,AGUSTUS,81.0,MILIMETER,2015
9,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,SEPTEMBER,57.0,MILIMETER,2015
10,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,OKTOBER,64.0,MILIMETER,2015
11,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,NOVEMBER,80.0,MILIMETER,2015
12,32,JAWA BARAT,CILIWUNG-CISADANE,CIHIDEUNG,DESEMBER,52.0,MILIMETER,2015
13,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JANUARI,45.0,MILIMETER,2015
14,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,FEBRUARI,63.0,MILIMETER,2015
15,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MARET,50.0,MILIMETER,2015
16,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,APRIL,39.0,MILIMETER,2015
17,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,MEI,47.5,MILIMETER,2015
18,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JUNI,25.0,MILIMETER,2015
19,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,JULI,10.0,MILIMETER,2015
20,32,JAWA BARAT,CILIWUNG-CISADANE,DEPOK PANCORAN MAS,AGUSTUS,0.0,MILIMETER,2015
