,nama_provinsi,bulan,tahun,jumlah_curah_hujan,nama_stasiun_hujan
240,JAWA BARAT,JANUARI,2020,91.0,CIHIDEUNG
241,JAWA BARAT,FEBRUARI,2020,51.0,CIHIDEUNG
242,JAWA BARAT,MARET,2020,56.0,CIHIDEUNG
243,JAWA BARAT,APRIL,2020,47.0,CIHIDEUNG
244,JAWA BARAT,MEI,2020,72.0,CIHIDEUNG
245,JAWA BARAT,JUNI,2020,31.0,CIHIDEUNG
246,JAWA BARAT,JULI,2020,61.0,CIHIDEUNG
247,JAWA BARAT,AGUSTUS,2020,69.0,CIHIDEUNG
248,JAWA BARAT,SEPTEMBER,2020,31.0,CIHIDEUNG
249,JAWA BARAT,OKTOBER,2020,80.0,CIHIDEUNG
250,JAWA BARAT,NOVEMBER,2020,96.0,CIHIDEUNG
251,JAWA BARAT,DESEMBER,2020,21.0,CIHIDEUNG
252,JAWA BARAT,JANUARI,2020,26.0,DEPOK PANCORAN MAS
253,JAWA BARAT,FEBRUARI,2020,120.0,DEPOK PANCORAN MAS
254,JAWA BARAT,MARET,2020,37.0,DEPOK PANCORAN MAS
255,JAWA BARAT,APRIL,2020,32.0,DEPOK PANCORAN MAS
256,JAWA BARAT,MEI,2020,45.0,DEPOK PANCORAN MAS
257,JAWA BARAT,JUNI,2020,38.0,DEPOK PANCORAN MAS
258,JAWA BARAT,JULI,2020,42.0,DEPOK PANCORAN MAS
259,JAWA BARAT,AGUSTUS,2020,54.0,DEPOK PANCORAN MAS
260,JAWA BARAT,SEPTEMBER,2020,51.0,DEPOK PANCORAN MAS
261,JAWA BARAT,OKTOBER,2020,63.0,DEPOK PANCORAN MAS
262,JAWA BARAT,NOVEMBER,2020,32.0,DEPOK PANCORAN MAS
263,JAWA BARAT,DESEMBER,2020,45.0,DEPOK PANCORAN MAS
264,JAWA BARAT,JANUARI,2020,66.0,GUNUNG MAS
265,JAWA BARAT,FEBRUARI,2020,113.0,GUNUNG MAS
266,JAWA BARAT,MARET,2020,53.0,GUNUNG MAS
267,JAWA BARAT,APRIL,2020,48.5,GUNUNG MAS
268,JAWA BARAT,MEI,2020,88.0,GUNUNG MAS
269,JAWA BARAT,JUNI,2020,14.0,GUNUNG MAS
270,JAWA BARAT,JULI,2020,7.5,GUNUNG MAS
271,JAWA BARAT,AGUSTUS,2020,3.0,GUNUNG MAS
272,JAWA BARAT,SEPTEMBER,2020,48.0,GUNUNG MAS
273,JAWA BARAT,OKTOBER,2020,73.5,GUNUNG MAS
274,JAWA BARAT,NOVEMBER,2020,75.0,GUNUNG MAS
275,JAWA BARAT,DESEMBER,2020,101.0,GUNUNG MAS
276,JAWA BARAT,JANUARI,2020,128.0,KURIPAN
277,JAWA BARAT,FEBRUARI,2020,34.0,KURIPAN
278,JAWA BARAT,MARET,2020,94.0,KURIPAN
279,JAWA BARAT,APRIL,2020,35.5,KURIPAN
280,JAWA BARAT,MEI,2020,21.0,KURIPAN
281,JAWA BARAT,JUNI,2020,32.0,KURIPAN
282,JAWA BARAT,JULI,2020,13.0,KURIPAN
283,JAWA BARAT,AGUSTUS,2020,36.0,KURIPAN
284,JAWA BARAT,SEPTEMBER,2020,69.0,KURIPAN
285,JAWA BARAT,OKTOBER,2020,175.0,KURIPAN
286,JAWA BARAT,NOVEMBER,2020,90.5,KURIPAN
287,JAWA BARAT,DESEMBER,2020,43.0,KURIPAN
288,JAWA BARAT,JANUARI,2021,,CIHIDEUNG
289,JAWA BARAT,FEBRUARI,2021,,CIHIDEUNG
290,JAWA BARAT,MARET,2021,,CIHIDEUNG
291,JAWA BARAT,APRIL,2021,,CIHIDEUNG
292,JAWA BARAT,MEI,2021,,CIHIDEUNG
293,JAWA BARAT,JUNI,2021,,CIHIDEUNG
294,JAWA BARAT,JULI,2021,,CIHIDEUNG
